,f18_KOI_int,dr25_kepid,prot,Prot_adopted,prot_numflag,a18_period,m13_Prot,m15_Prot,w13_Per
948,1615,4278221,7.88,a18,3.0,7.88,7.73,7.73,
949,1616,9015738,11.78,a18,3.0,11.78,11.59,11.64,
952,1621,5561278,17.69,a18,2.0,17.69,18.45,18.26,18.28
954,1628,6975129,5.73,a18,3.0,5.73,5.69,5.73,6.16
958,1632,9277896,10.05,a18,2.0,10.05,,9.56,
969,1688,6310636,14.54,a18,2.0,14.54,,13.5,
970,1692,6616218,26.99,a18,3.0,26.99,25.68,,
973,1706,7626370,14.89,a18,2.0,14.89,,25.15,
977,1726,8242434,32.11,m15,2.0,14.4,,32.11,34.8
978,1738,4365645,35.65,m15,2.0,18.38,35.87,35.65,15.62
980,1751,9729691,24.15,a18,3.0,24.15,23.95,23.58,23.41
982,1779,9909735,7.37,a18,3.0,7.37,7.15,,7.18
984,1781,11551692,10.55,a18,3.0,10.55,10.44,10.42,11.03
990,1797,10676014,10.91,a18,3.0,10.91,10.82,10.82,10.87
991,1800,11017901,6.58,a18,3.0,6.58,6.46,6.49,6.53
992,1802,11298298,14.01,a18,3.0,14.01,13.76,13.75,15.3
993,1803,4349442,22.96,a18,3.0,22.96,22.04,22.34,
995,1805,4644952,13.53,a18,3.0,13.53,13.37,13.42,13.15
1001,1808,7761918,8.73,a18,3.0,8.73,8.25,8.53,8.96
1002,1809,8240797,21.39,a18,3.0,21.39,21.12,21.12,
1005,1813,9455325,18.84,a18,3.0,18.84,18.26,18.99,18.28
1006,1815,9872283,18.62,a18,3.0,18.62,18.63,18.73,18.73
1007,1818,7870032,15.72,a18,3.0,15.72,15.84,15.79,15.62
1008,1819,9597058,12.95,a18,3.0,12.95,12.79,12.83,12.93
1009,1820,8277797,19.77,a18,3.0,19.77,18.99,18.95,19.21
1011,1822,5124667,11.69,a18,3.0,11.69,11.53,11.52,
1014,1825,5375194,10.46,a18,3.0,10.46,10.19,10.21,
1016,1831,11601584,13.89,a18,2.0,13.89,,,
1020,1832,11709244,14.14,m15,3.0,,14.17,14.14,14.7
1023,1835,9471268,9.72,a18,3.0,9.72,9.65,9.65,9.77
1026,1837,10657406,17.89,a18,3.0,17.89,18.12,18.05,18.28
1028,1839,5856571,6.3,a18,3.0,6.3,6.25,6.26,
1030,1841,11760231,25.75,a18,3.0,25.75,25.32,25.31,24.55
1031,1845,3338885,38.43,m15,3.0,,39.71,38.43,38.35
1033,1850,8826168,24.36,a18,2.0,24.36,,23.0,
1035,1854,9662811,25.4,a18,3.0,25.4,24.38,24.4,18.28
1036,1856,11570749,28.28,a18,3.0,28.28,27.57,27.58,25.38
1037,1858,8160953,18.73,a18,3.0,18.73,18.52,18.51,18.28
1039,1860,4157325,21.64,a18,3.0,21.64,21.47,21.46,
1043,1861,3648437,6.63,a18,3.0,6.63,6.52,6.55,6.53
1045,1863,11126381,11.78,a18,3.0,11.78,11.53,11.53,11.54
1047,1871,9758089,21.07,d20,2.0,,44.1,,43.97
1049,1875,9967771,25.13,a18,2.0,25.13,31.08,30.95,
1051,1877,10454632,26.13,a18,3.0,26.13,25.95,25.77,25.82
1053,1883,11758544,11.72,a18,2.0,11.72,11.48,11.54,
1054,1886,9549648,7.83,a18,3.0,7.83,7.31,7.45,
1056,1889,11074178,19.93,a18,3.0,19.93,19.84,19.8,18.73
1062,1897,5695524,25.68,a18,2.0,25.68,,25.93,
1064,1901,3629967,14.1,a18,2.0,14.1,,50.25,25.38
1065,1904,8766650,21.16,a18,3.0,21.16,21.04,21.05,21.1
1066,1905,10328393,24.33,a18,3.0,24.33,23.64,23.81,22.36
1069,1909,10130039,16.9,a18,2.0,16.9,16.68,16.48,19.98
1072,1913,9704384,21.81,a18,3.0,21.81,21.84,21.81,24.55
1073,1915,9101496,13.78,a18,2.0,13.78,,13.46,
1080,1923,4989057,31.93,m15,2.0,14.28,31.84,31.93,
1081,1924,5108214,17.76,a18,2.0,17.76,,,
1082,1925,9955598,27.96,a18,2.0,27.96,,,
1083,1928,5770074,18.55,a18,2.0,18.55,,18.3,
1090,1931,10978763,16.84,m15,3.0,,16.92,16.84,16.66
1094,1944,2438513,13.31,a18,3.0,13.31,13.54,13.23,13.63
1104,1955,9892816,7.25,a18,2.0,7.25,,14.36,
1108,1958,9836149,10.61,a18,3.0,10.61,10.53,10.39,
1111,1961,7269493,20.98,a18,3.0,20.98,20.58,,21.71
1113,1964,7887791,26.25,a18,2.0,26.25,25.78,25.72,31.85
1116,1978,9518318,21.93,m15,3.0,,22.22,21.93,23.78
1122,1980,11769890,22.49,a18,3.0,22.49,22.06,21.98,17.03
1123,1984,10094670,13.91,a18,2.0,13.91,,13.88,
1124,1985,8142942,25.43,a18,3.0,25.43,25.79,25.65,11.91
1125,1988,9044228,35.2,m15,2.0,,34.92,35.2,35.62
1126,1989,10779233,19.46,a18,3.0,19.46,18.79,18.8,9.35
1130,2001,6061773,16.64,a18,3.0,16.64,16.36,16.32,17.03
