,KOI_x,KIC,Kepler,Prot_flag,Prot_adopted,Prot_ANG18,Prot_MAZ15,Prot_D20,Prot_MCQ13,Prot_WAL13,KOI_y,Teff,E_Teff,e_Teff,[Fe/H],E_[Fe/H],e_[Fe/H],Ksmag,e_Ksmag,plx,e_plx,R,E_R,e_R,Miso,E_Miso,e_Miso,Riso,E_Riso,e_Riso,rhoiso,E_rhoiso,e_rhoiso,logAiso,E_logAiso,e_logAiso,plxspec,E_plxspec,e_plxspec,r8,RCF,KOI_strip
1481,2312,10026544,,m,,20.52,48.04,13.86,,,K02312,6328,60,60,-0.28,0.04,0.04,11.321,0.015,1.045,0.024,2.305,0.072,0.07,1.257,0.028,0.026,2.278,0.05,0.049,0.11,0.01,0.01,9.53,0.03,0.03,1.304,0.167,0.198,1,,2312
1482,2313,10132832,Kepler-1186,m,,,38.59,13.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483,2314,3219995,Kepler-1187,a,m15,,12.66,12.85,12.76,12.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,2315,6062929,,m,,,45.81,20.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,2316,7504778,Kepler-1188,m,,,27.81,31.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,2317,10684670,Kepler-1189,b,m15,,25.80,13.35,,25.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,2318,11495458,Kepler-1190,a,m15,,15.56,15.97,15.61,16.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,2319,9003401,,m,,13.21,13.01,14.21,,,K02319,6097,60,60,-0.02,0.04,0.04,12.079,0.02,1.404,0.016,1.215,0.03,0.029,1.078,0.032,0.03,1.212,0.015,0.013,0.6,0.03,0.03,9.65,0.09,0.1,1.451,0.125,0.187,1,,2319
1489,2321,5978559,,m,,,22.75,12.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,2323,8872048,,m,,,4.41,15.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
