,KOI_x,KIC,Kepler,Prot_flag,Prot_adopted,Prot_ANG18,Prot_MAZ15,Prot_D20,Prot_MCQ13,Prot_WAL13,KOI_y,Teff,E_Teff,e_Teff,[Fe/H],E_[Fe/H],e_[Fe/H],Ksmag,e_Ksmag,plx,e_plx,R,E_R,e_R,Miso,E_Miso,e_Miso,Riso,E_Riso,e_Riso,rhoiso,E_rhoiso,e_rhoiso,logAiso,E_logAiso,e_logAiso,plxspec,E_plxspec,e_plxspec,r8,RCF,KOI_strip
394,619,10384962,,a,d20,,,3.08,,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,620,11773022,Kepler-51,a,a18,8.25,8.17,8.18,8.22,8.27,K00620,5674,60,60,0.05,0.04,0.04,13.197,0.037,1.3,0.022,0.82,0.027,0.026,0.929,0.016,0.013,0.845,0.013,0.013,1.54,0.07,0.07,9.02,0.3,0.52,1.151,0.04,0.05,1,1.0044,620
396,622,12417486,,f,,,39.78,14.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,623,12068975,Kepler-197,b,a18,21.70,21.80,15.05,,,K00623,5945,60,60,-0.4,0.04,0.04,10.535,0.021,3.049,0.021,1.163,0.028,0.027,0.857,0.023,0.019,1.159,0.01,0.011,0.55,0.03,0.02,10.06,0.04,0.05,3.535,0.333,0.421,1.074,,623
398,624,3541946,Kepler-198,a,m15,,15.38,7.68,15.37,7.97,K00624,5681,60,60,0.13,0.04,0.04,12.027,0.02,2.043,0.017,0.889,0.022,0.021,0.995,0.008,0.023,0.899,0.006,0.007,1.37,0.02,0.03,8.71,0.57,0.32,1.884,0.074,0.101,1.004,1.0016,624
399,625,4449034,,b,m15,,5.49,6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,626,4478168,,f,,37.59,51.61,13.58,,,K00626,6070,60,60,-0.18,0.04,0.04,12.205,0.021,1.361,0.021,1.199,0.033,0.032,0.987,0.029,0.028,1.185,0.02,0.019,0.59,0.04,0.03,9.82,0.07,0.08,1.432,0.134,0.174,1.009,1.0052,626
401,627,4563268,Kepler-625,b,a18,13.06,12.46,12.34,,,K00627,6042,60,60,0.17,0.04,0.04,11.905,0.021,1.339,0.017,1.398,0.036,0.035,1.195,0.024,0.026,1.38,0.014,0.02,0.46,0.02,0.03,9.58,0.07,0.07,1.329,0.157,0.222,1,,627
402,628,4644604,Kepler-626,m,,17.38,25.99,13.29,,,K00628,5721,60,60,-0.32,0.04,0.04,12.388,0.026,1.597,0.016,0.968,0.026,0.025,0.825,0.023,0.017,0.959,0.01,0.01,0.93,0.05,0.04,10.07,0.05,0.08,1.799,0.093,0.132,1.012,1.0086,628
403,629,4656049,Kepler-627,m,,10.44,69.86,22.07,,,K00629,6006,60,60,-0.27,0.04,0.04,12.608,0.029,1.04,0.017,1.321,0.039,0.038,0.936,0.025,0.024,1.297,0.022,0.021,0.43,0.03,0.02,9.96,0.05,0.05,1.196,0.123,0.152,1.064,,629
404,631,4742414,Kepler-628,m,,,,15.48,,27.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,632,4827723,Kepler-629,a,a18,21.77,22.35,22.72,22.41,17.43,K00632,5406,60,60,0.12,0.04,0.04,11.646,0.02,2.712,0.014,0.819,0.02,0.02,0.913,0.013,0.014,0.828,0.005,0.006,1.6,0.06,0.03,9.24,0.18,0.59,2.525,0.078,0.138,1,,632
406,633,4841374,Kepler-630,f,,,39.30,16.61,,,K00633,5755,60,60,-0.16,0.04,0.04,12.293,0.022,1.215,0.017,1.34,0.037,0.036,0.907,0.023,0.021,1.312,0.02,0.02,0.4,0.02,0.02,10.07,0.04,0.04,1.33,0.157,0.187,1,1.0071,633
407,635,5020319,,a,a18,8.90,8.92,8.79,8.89,,K00635,6088,60,60,0.05,0.04,0.04,11.751,0.026,1.814,0.017,1.096,0.028,0.027,1.112,0.025,0.034,1.094,0.007,0.01,0.85,0.04,0.04,9.22,0.24,0.31,1.767,0.1,0.147,1.011,1.0019,635
408,638,5113822,Kepler-199,a,a18,18.14,17.99,17.59,17.79,,K00638,5721,60,60,0,0.04,0.04,12.083,0.02,1.943,0.015,0.908,0.022,0.022,0.972,0.016,0.032,0.908,0.008,0.01,1.3,0.05,0.07,9.24,0.36,0.34,1.854,0.094,0.142,1.036,,638
409,639,5120087,Kepler-631,b,a18,8.65,7.79,6.90,7.77,,K00639,6158,60,60,0.04,0.04,0.04,12.208,0.026,1.337,0.018,1.223,0.033,0.032,1.135,0.039,0.033,1.193,0.016,0.021,0.67,0.04,0.04,9.42,0.14,0.2,1.345,0.089,0.145,1.002,1.0042,639
410,640,5121511,Kepler-632,b,a18,15.03,37.41,13.24,37.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,641,5131180,,m,,,40.51,10.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,645,5374854,,m,,20.84,65.57,16.57,,,K00645,5856,60,60,-0.17,0.04,0.04,11.978,0.026,1.096,0.016,1.699,0.048,0.047,1.011,0.021,0.021,1.666,0.027,0.027,0.22,0.01,0.01,9.91,0.03,0.03,1.464,0.167,0.205,1.1,1.0584,645
413,647,5531694,,f,,,49.63,12.72,,,K00647,6109,60,60,-0.37,0.04,0.04,12.16,0.021,1.15,0.015,1.442,0.037,0.036,0.955,0.022,0.021,1.431,0.022,0.018,0.32,0.02,0.02,9.92,0.04,0.04,1.578,0.142,0.182,1.002,,647
414,649,5613330,,m,,23.48,10.33,11.24,,,K00649,6282,60,60,0.22,0.04,0.04,11.903,0.024,0.901,0.018,2.027,0.061,0.059,1.492,0.026,0.026,2.01,0.037,0.044,0.18,0.01,0.01,9.33,0.04,0.04,1.052,0.123,0.17,1,,649
415,650,5786676,,m,,14.30,69.34,32.79,36.37,37.40,K00650,5058,60,60,0.05,0.04,0.04,11.571,0.019,3.005,0.014,0.797,0.021,0.02,0.825,0.027,0.032,0.796,0.006,0.006,1.63,0.09,0.09,9.8,0.22,0.32,3.009,0.11,0.114,1.051,1.0188,650
416,652,5796675,Kepler-636,a,m15,,17.20,17.23,17.31,18.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,654,5941160,Kepler-200,a,a18,19.12,18.92,19.55,18.94,,K00654,5785,60,60,-0.03,0.04,0.04,12.455,0.021,1.526,0.016,0.974,0.025,0.024,0.972,0.031,0.034,0.964,0.012,0.011,1.08,0.07,0.06,9.6,0.18,0.26,1.526,0.083,0.122,1,1.0005,654
418,655,5966154,Kepler-201,m,,10.40,17.26,8.87,,,K00655,6152,60,60,-0.03,0.04,0.04,11.737,0.02,1.596,0.024,1.255,0.033,0.032,1.098,0.029,0.03,1.242,0.019,0.021,0.58,0.04,0.04,9.61,0.09,0.1,1.519,0.169,0.218,1.004,,655
419,657,6020753,Kepler-202,b,a18,16.16,41.01,13.95,,,K00657,4762,60,60,-0.21,0.04,0.04,11.639,0.023,3.531,0.014,0.683,0.019,0.018,0.698,0.023,0.017,0.679,0.004,0.004,2.22,0.1,0.07,9.9,0.18,0.37,3.602,0.095,0.108,1,1.0002,657
420,658,6062088,Kepler-203,a,a18,15.23,15.26,16.27,15.24,21.71,K00658,5887,60,60,0.08,0.04,0.04,12.445,0.026,1.446,0.019,1.029,0.028,0.027,1.06,0.022,0.036,1.013,0.013,0.008,1.02,0.04,0.06,9.25,0.27,0.39,1.368,0.083,0.132,1,1.0093,658
421,659,6125481,Kepler-637,b,a18,7.54,6.68,6.71,,,K00659,6281,60,60,-0.05,0.04,0.04,12.182,0.023,1.296,0.015,1.24,0.031,0.03,1.136,0.03,0.034,1.231,0.016,0.015,0.6,0.03,0.03,9.46,0.12,0.14,1.374,0.074,0.143,1.231,,659
422,660,6267535,Kepler-638,f,,29.85,32.10,14.95,,,K00660,5320,60,60,-0.07,0.04,0.04,11.683,0.02,1.033,0.016,2.157,0.063,0.061,1.082,0.022,0.022,2.136,0.037,0.036,0.11,0,0.01,9.86,0.03,0.03,1.168,0.115,0.204,1,,660
423,661,6347299,Kepler-204,b,a18,16.82,16.90,8.72,16.93,,K00661,5877,60,60,0.07,0.04,0.04,12.481,0.025,1.48,0.015,0.975,0.025,0.024,1.038,0.025,0.024,0.978,0.009,0.01,1.11,0.03,0.04,9.15,0.27,0.33,1.376,0.08,0.122,1,,661
424,662,6365156,Kepler-639,f,,22.01,49.98,29.96,,,K00662,5834,60,60,-0.02,0.04,0.04,11.89,0.022,1.2,0.015,1.594,0.042,0.041,1.047,0.024,0.023,1.583,0.023,0.022,0.26,0.01,0.01,9.9,0.04,0.04,1.299,0.159,0.196,1,,662
425,663,6425957,Kepler-205,m,,,38.35,17.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,664,6442340,Kepler-206,f,,31.15,72.52,17.77,,,K00664,5691,60,60,0.06,0.04,0.04,12.001,0.023,1.706,0.014,1.078,0.027,0.026,0.957,0.033,0.03,1.072,0.011,0.011,0.78,0.04,0.04,9.92,0.09,0.11,1.672,0.158,0.203,1,,664
427,665,6685609,Kepler-207,b,a18,15.93,15.48,14.56,15.43,7.69,K00665,5969,60,60,0.29,0.04,0.04,11.805,0.015,1.166,0.013,1.674,0.04,0.039,1.313,0.025,0.028,1.668,0.028,0.022,0.28,0.01,0.02,9.56,0.05,0.06,1.195,0.17,0.209,1,,665
428,666,6707835,Kepler-640,b,a18,28.32,27.91,18.63,,42.72,K00666,5600,60,60,0.14,0.04,0.04,12.113,0.016,1.817,0.015,0.976,0.024,0.023,0.987,0.037,0.036,0.964,0.009,0.011,1.1,0.07,0.06,9.62,0.2,0.33,1.742,0.119,0.177,1.023,,666
429,667,6752502,,m,,,,19.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,670,7033671,Kepler-641,f,,,144.24,32.97,,,K00670,5605,60,60,0.17,0.04,0.04,12.186,0.023,1.055,0.017,1.613,0.047,0.045,1.061,0.024,0.022,1.601,0.029,0.026,0.26,0.01,0.01,9.96,0.03,0.04,1.073,0.141,0.172,1,,670
431,671,7040629,Kepler-208,m,,11.24,60.46,12.08,,,K00671,6054,60,60,0.02,0.04,0.04,12.21,0.02,1.314,0.015,1.234,0.031,0.03,1.082,0.03,0.03,1.223,0.016,0.015,0.59,0.03,0.03,9.67,0.09,0.1,1.263,0.142,0.188,1.002,,671
432,672,7115785,,b,a18,27.26,27.48,16.72,,30.55,K00672,5564,60,60,0.14,0.04,0.04,12.362,0.021,1.757,0.017,0.898,0.023,0.022,0.971,0.026,0.028,0.898,0.009,0.008,1.34,0.04,0.06,9.29,0.31,0.49,1.637,0.081,0.129,1.001,,672
433,673,7124613,Kepler-642,a,a18,4.89,4.79,4.99,4.79,4.59,K00673,6380,60,60,0.04,0.04,0.04,12.095,0.02,1.304,0.014,1.271,0.03,0.029,1.22,0.03,0.029,1.263,0.014,0.012,0.6,0.03,0.03,9.17,0.16,0.2,1.346,0.063,0.062,1.012,,673
434,674,7277317,Kepler-643,f,,15.62,,13.22,,,K00674,4933,60,60,0.25,0.04,0.04,11.583,0.011,0.964,0.015,2.522,0.075,0.073,1.224,0.048,0.061,2.5,0.043,0.042,0.08,0.01,0.01,9.78,0.08,0.06,0.895,0.126,0.14,1,,674
435,676,7447200,Kepler-210,a,m15,,12.29,12.30,12.31,12.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,678,7509886,Kepler-211,a,a18,13.79,13.74,13.88,13.85,13.88,K00678,5194,60,60,0.18,0.04,0.04,11.447,0.021,3.257,0.018,0.764,0.02,0.019,0.867,0.009,0.014,0.782,0.003,0.004,1.82,0.02,0.04,8.96,0.41,0.56,2.947,0.1,0.134,1,,678
437,679,7515212,Kepler-212,b,a18,21.60,21.43,9.63,,18.28,K00679,5880,60,60,0.22,0.04,0.04,11.62,0.011,1.479,0.018,1.448,0.035,0.035,1.174,0.032,0.048,1.445,0.02,0.018,0.39,0.02,0.02,9.71,0.1,0.07,1.464,0.178,0.208,1,,679
438,680,7529266,Kepler-435,m,,33.20,72.80,20.27,,,K00680,6238,60,60,0.05,0.04,0.04,12.291,0.022,0.729,0.017,2.108,0.07,0.067,1.415,0.036,0.087,2.088,0.05,0.047,0.15,0.01,0.01,9.42,0.12,0.05,0.881,0.135,0.141,1.003,,680
439,682,7619236,,m,,30.10,29.06,14.43,,,K00682,5620,60,60,0.34,0.04,0.04,12.261,0.022,1.564,0.018,1.045,0.028,0.027,1.067,0.031,0.034,1.038,0.014,0.011,0.95,0.05,0.06,9.51,0.21,0.33,1.404,0.136,0.189,1,,682
440,683,7630229,,a,a18,16.62,16.47,8.54,16.49,16.55,K00683,5869,60,60,0.15,0.04,0.04,12.242,0.021,1.505,0.016,1.084,0.027,0.027,1.09,0.031,0.039,1.069,0.01,0.01,0.9,0.03,0.05,9.37,0.23,0.28,1.38,0.121,0.186,1.004,1.0056,683
441,684,7730747,,f,,21.93,85.67,30.95,,,K00684,5287,60,60,0.1,0.04,0.04,12.003,0.013,0.934,0.013,2.051,0.056,0.054,1.109,0.022,0.021,2.041,0.031,0.029,0.13,0.01,0.01,9.89,0.02,0.02,0.945,0.13,0.165,1,1.0206,684
442,685,7764367,Kepler-644,f,,16.61,45.35,4.98,,,K00685,6540,60,60,-0.05,0.04,0.04,12.574,0.022,0.783,0.021,1.719,0.061,0.058,1.322,0.025,0.025,1.663,0.048,0.042,0.29,0.02,0.02,9.38,0.04,0.04,0.98,0.081,0.118,1.003,1.0019,685
443,686,7906882,,b,a18,18.79,16.91,20.06,,,K00686,5599,60,60,0,0.04,0.04,11.847,0.019,1.927,0.017,1.049,0.026,0.026,0.904,0.03,0.025,1.028,0.011,0.01,0.83,0.05,0.04,10.02,0.07,0.09,1.959,0.169,0.225,1,,686
444,687,7976520,,b,a18,18.34,,18.16,19.03,18.73,K00687,5879,60,60,0.08,0.04,0.04,12.118,0.024,3.084,0.247,0.575,0.053,0.047,0,0,0,0,0,0,0,0,0,,,,1.581,0.1,0.166,1,1.0665,687
445,688,8161561,Kepler-645,m,,25.27,26.10,23.04,,,K00688,6192,60,60,-0.06,0.04,0.04,12.589,0.021,0.876,0.015,1.539,0.044,0.042,1.163,0.036,0.047,1.526,0.032,0.031,0.32,0.02,0.02,9.64,0.09,0.07,1.095,0.103,0.145,1.258,1.0661,688
446,689,8361905,Kepler-646,f,,20.22,10.47,24.19,,,K00689,5334,60,60,-0.44,0.04,0.04,12.089,0.015,2.238,0.015,0.825,0.02,0.02,0.753,0.012,0.008,0.808,0.005,0.005,1.42,0.04,0.03,10.11,0.03,0.06,2.523,0.086,0.093,1.005,1.0008,689
447,691,8480285,,m,,30.84,32.03,19.93,,,K00691,5914,60,60,-0.3,0.04,0.04,12.611,0.026,0.943,0.016,1.45,0.043,0.042,0.927,0.021,0.02,1.44,0.027,0.025,0.31,0.02,0.02,10,0.03,0.04,1.144,0.127,0.158,1,,691
448,692,8557374,Kepler-213,m,,27.55,26.78,33.98,,,K00692,5658,60,60,0.15,0.04,0.04,12.122,0.017,1.599,0.018,1.09,0.028,0.027,0.991,0.034,0.032,1.083,0.014,0.014,0.78,0.05,0.05,9.87,0.1,0.12,1.53,0.148,0.191,1,,692
449,693,8738735,Kepler-214,b,a18,8.09,12.48,12.06,,,K00693,6052,60,60,-0.02,0.04,0.04,12.607,0.028,0.852,0.016,1.582,0.048,0.046,1.137,0.053,0.044,1.569,0.035,0.025,0.29,0.02,0.02,9.73,0.07,0.09,0.931,0.115,0.112,1,,693
450,694,8802165,Kepler-648,b,a18,23.15,22.80,11.70,22.84,28.25,K00694,5693,60,60,0.23,0.04,0.04,12.44,0.023,1.597,0.019,0.936,0.025,0.024,1.038,0.018,0.025,0.945,0.01,0.008,1.22,0.03,0.05,8.88,0.45,0.46,1.415,0.088,0.138,1,,694
451,695,8805348,Kepler-649,f,,19.65,78.29,21.22,,,K00695,5694,60,60,-0.4,0.04,0.04,12.036,0.019,1.971,0.017,0.921,0.023,0.022,0.801,0.021,0.013,0.918,0.008,0.009,1.03,0.05,0.03,10.08,0.04,0.07,2.171,0.116,0.145,1.002,1.0334,695
452,696,8869680,,f,,,,20.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,697,8878187,Kepler-650,m,,26.93,26.96,23.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,700,8962094,Kepler-215,f,,19.49,30.09,25.23,,,K00700,5648,60,60,-0.43,0.04,0.04,11.996,0.019,2.082,0.015,0.896,0.022,0.021,0.788,0.018,0.012,0.889,0.006,0.008,1.12,0.05,0.03,10.09,0.04,0.07,2.326,0.097,0.13,1,,700
455,701,9002278,Kepler-62,b,a18,29.90,35.99,13.20,,,K00701,4859,60,60,-0.34,0.04,0.04,11.659,0.021,3.348,0.013,0.707,0.019,0.019,0.697,0.023,0.011,0.693,0.003,0.002,2.09,0.07,0.05,10.03,0.09,0.21,3.595,0.095,0.097,1.011,1.0038,701
456,704,9266431,,a,a18,20.42,20.85,21.08,20.91,21.10,K00704,5266,60,60,-0.08,0.04,0.04,11.966,0.02,2.585,0.013,0.754,0.019,0.019,0.825,0.017,0.021,0.763,0.004,0.008,1.85,0.07,0.06,9.4,0.28,0.63,2.451,0.077,0.112,1,1.0158,704
457,707,9458613,Kepler-33,m,,21.99,85.24,17.86,,,K00707,5947,60,60,0.14,0.04,0.04,12.591,0.022,0.851,0.015,1.609,0.047,0.045,1.208,0.033,0.065,1.596,0.029,0.031,0.29,0.02,0.02,9.68,0.11,0.06,0.854,0.099,0.111,1.013,,707
458,708,9530945,Kepler-216,b,a18,10.45,10.10,3.36,,,K00708,6119,60,60,-0.07,0.04,0.04,12.621,0.021,0.866,0.015,1.545,0.044,0.042,1.126,0.045,0.043,1.525,0.031,0.024,0.31,0.02,0.02,9.71,0.07,0.08,0.997,0.119,0.131,1,,708
459,709,9578686,Kepler-651,f,,22.27,59.69,27.95,,29.94,K00709,5349,60,60,-0.14,0.04,0.04,12.27,0.018,1.987,0.014,0.849,0.021,0.021,0.813,0.028,0.021,0.844,0.007,0.007,1.34,0.07,0.05,10.01,0.09,0.14,2.076,0.092,0.104,1,,709
460,710,9590976,Kepler-217,f,,31.42,,15.38,,,K00710,6554,60,60,-0.07,0.04,0.04,12.103,0.024,0.929,0.014,1.754,0.046,0.045,1.342,0.023,0.024,1.744,0.023,0.031,0.25,0.01,0.01,9.38,0.04,0.04,1.122,0.122,0.167,1,,710
461,711,9597345,Kepler-218,f,,17.61,35.94,12.08,,,K00711,5594,60,60,0.37,0.04,0.04,12.311,0.022,1.548,0.015,1.037,0.027,0.026,1.067,0.031,0.033,1.029,0.01,0.01,0.98,0.05,0.06,9.48,0.21,0.36,1.392,0.129,0.186,1,,711
462,714,9702072,Kepler-652,a,a18,27.70,26.79,25.17,26.86,28.25,K00714,5393,60,60,0.14,0.04,0.04,11.737,0.014,2.559,0.014,0.834,0.02,0.019,0.928,0.012,0.027,0.839,0.006,0.003,1.58,0.01,0.08,8.99,0.56,0.39,2.411,0.079,0.139,1,,714
463,716,9846348,,m,,,19.35,9.60,,9.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,717,9873254,Kepler-653,f,,24.94,85.57,48.85,,,K00717,5612,60,60,0.33,0.04,0.04,11.793,0.011,1.703,0.013,1.191,0.028,0.027,1.05,0.029,0.029,1.186,0.012,0.012,0.63,0.03,0.03,9.87,0.08,0.09,1.632,0.181,0.217,1,,717
465,718,9884104,Kepler-219,a,a18,17.73,17.36,17.36,17.10,17.43,K00718,5873,60,60,0.36,0.04,0.04,12.389,0.02,1.295,0.017,1.161,0.031,0.03,1.164,0.035,0.033,1.157,0.022,0.015,0.75,0.03,0.05,9.4,0.15,0.48,1.176,0.104,0.161,1.015,,718
466,719,9950612,Kepler-220,a,a18,30.79,30.76,30.58,30.79,15.30,K00719,4665,60,60,-0.01,0.04,0.04,10.55,0.014,5.868,0.022,0.685,0.019,0.018,0.729,0.013,0.025,0.688,0.004,0.003,2.22,0.08,0.08,9.58,0.39,0.58,5.74,0.154,0.174,1.001,,719
467,720,9963524,Kepler-221,a,a18,9.63,9.43,9.37,9.40,9.35,K00720,5260,60,60,0.04,0.04,0.04,11.9,0.019,2.62,0.019,0.767,0.02,0.019,0.854,0.012,0.016,0.779,0.006,0.007,1.8,0.05,0.06,9.25,0.25,0.51,2.45,0.082,0.106,1.005,1.0018,720
468,721,9964801,Kepler-654,f,,15.99,59.42,15.37,,,K00721,5846,60,60,0.13,0.04,0.04,12.158,0.024,1.051,0.016,1.616,0.046,0.045,1.123,0.09,0.032,1.59,0.028,0.028,0.28,0.02,0.02,9.82,0.05,0.14,1.135,0.124,0.157,1.446,1.01,721
469,722,9965439,Kepler-655,f,,16.26,9.82,18.43,,,K00722,6145,60,60,-0.11,0.04,0.04,12.214,0.02,1.353,0.016,1.194,0.03,0.029,1.05,0.032,0.031,1.178,0.016,0.015,0.64,0.04,0.04,9.65,0.09,0.12,1.436,0.107,0.156,1,,722
470,723,10002866,Kepler-222,a,a18,11.05,11.07,10.98,10.98,11.90,K00723,5315,60,60,0.33,0.04,0.04,13.235,0.03,1.342,0.025,0.801,0.027,0.026,0.933,0.019,0.011,0.842,0.016,0.012,1.57,0.06,0.07,9.07,0.36,0.43,1.169,0.05,0.07,1.005,,723
471,726,10157573,,a,d20,,,5.12,,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,728,10221013,,a,m15,,19.51,9.83,19.51,19.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,730,10227020,Kepler-223,f,,17.82,,18.33,,,K00730,5697,60,60,0.1,0.04,0.04,13.633,0.047,0.563,0.031,1.574,0.106,0.096,1.041,0.032,0.031,1.513,0.09,0.078,0.29,0.05,0.04,9.95,0.05,0.05,0.436,0.059,0.069,1.097,1.0326,730
474,732,10265898,,b,a18,33.35,35.77,16.94,,,K00732,5251,60,60,0.29,0.04,0.04,13.503,0.033,1.148,0.026,0.838,0.031,0.029,0.931,0.028,0.021,0.859,0.012,0.016,1.49,0.06,0.09,9.38,0.31,0.48,1.032,0.052,0.069,1,,732
475,733,10271806,Kepler-224,b,a18,22.05,21.88,23.00,21.88,20.81,K00733,5046,60,60,-0.06,0.04,0.04,13.703,0.039,1.303,0.03,0.693,0.027,0.025,0.777,0.02,0.022,0.722,0.011,0.01,2.06,0.08,0.11,9.35,0.43,0.57,1.188,0.035,0.046,1,,733
476,734,10272442,,f,,,53.02,18.55,,,K00734,5904,60,60,0.24,0.04,0.04,13.761,,0.615,0.026,1.31,0.066,0.061,1.153,0.029,0.036,1.287,0.056,0.055,0.54,0.07,0.07,9.64,0.09,0.11,0.539,0.071,0.085,1.149,1.073,734
477,735,10287242,,a,m15,,27.61,27.60,27.52,28.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,736,10340423,,m,,,43.27,21.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,738,10358759,Kepler-29,f,,,37.35,38.32,,,K00738,5378,60,60,-0.44,0.04,0.04,13.657,0.045,1.227,0.038,0.732,0.033,0.031,0.761,0.024,0.028,0.732,0.017,0.014,1.93,0.15,0.17,9.74,0.26,0.44,1.212,0.039,0.044,1.125,,738
480,739,10386984,Kepler-658,b,m15,,39.53,13.34,38.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,740,10395381,Kepler-659,b,m15,,47.65,16.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,746,10526549,Kepler-660,f,,,46.77,49.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,747,10583066,Kepler-661,m,,,27.48,14.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,749,10601284,Kepler-226,f,,,18.65,14.84,,,K00749,5356,60,60,0.09,0.04,0.04,13.633,0.052,1.045,0.027,0.861,0.037,0.035,0.904,0.029,0.03,0.86,0.019,0.017,1.43,0.1,0.13,9.62,0.26,0.47,1.009,0.047,0.062,1.013,,749
485,750,10662202,,a,m15,,12.58,12.60,12.64,12.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,751,10682541,Kepler-663,a,m15,,23.02,20.95,22.92,11.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,752,10797460,Kepler-227,b,m15,,24.88,22.76,24.92,,K00752,5539,60,60,0.1,0.04,0.04,13.648,0.054,0.948,0.025,0.925,0.04,0.038,0.954,0.035,0.034,0.919,0.023,0.019,1.23,0.1,0.11,9.6,0.23,0.4,0.912,0.051,0.08,1,,752
488,755,10854555,Kepler-664,a,m15,,20.47,10.02,20.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,756,10872983,Kepler-228,f,,,15.44,21.71,,,K00756,5660,60,60,0.18,0.04,0.04,14.132,0.072,0.633,0.028,1.104,0.068,0.063,1.006,0.035,0.033,1.077,0.05,0.044,0.79,0.12,0.11,9.83,0.12,0.19,0.59,0.06,0.076,1,1.0083,756
490,757,10910878,Kepler-229,a,a18,17.62,16.21,15.42,15.94,17.43,K00757,5002,60,60,0.06,0.04,0.04,13.785,0.054,1.235,0.034,0.706,0.032,0.03,0.808,0.017,0.021,0.748,0.014,0.01,1.94,0.07,0.11,9.31,0.43,0.56,1.12,0.031,0.039,1.046,1.0221,757
491,758,10987985,Kepler-665,a,m15,,21.67,21.18,21.27,21.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,759,11018648,Kepler-230,f,,18.86,24.66,18.08,,,K00759,5253,60,60,-0.21,0.04,0.04,13.299,0.037,1.374,0.025,0.773,0.026,0.026,0.784,0.032,0.028,0.768,0.013,0.012,1.72,0.14,0.11,9.86,0.2,0.37,1.396,0.044,0.053,1,,759
493,760,11138155,,f,,21.69,,20.39,,,K00760,5742,60,60,0.1,0.04,0.04,13.805,0.06,0.785,0.024,1.018,0.048,0.046,1.011,0.033,0.035,1.008,0.03,0.03,0.98,0.11,0.1,9.6,0.19,0.33,0.75,0.057,0.082,1,,760
494,762,11153539,Kepler-666,f,,,15.79,17.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,764,11304958,Kepler-667,f,,,42.50,20.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,765,11391957,Kepler-668,a,m15,,18.99,18.79,18.96,19.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,766,11403044,Kepler-669,f,,,61.26,15.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,767,11414511,Kepler-670,a,d20,,24.11,12.07,24.07,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,769,11460018,Kepler-671,f,,,36.40,21.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,773,11507101,Kepler-672,f,,,29.28,17.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,775,11754553,Kepler-52,a,m15,,11.97,11.99,11.95,12.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,776,11812062,Kepler-673,f,,,24.33,21.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,777,11818800,,a,m15,,11.58,11.79,11.81,11.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,778,11853255,Kepler-674,b,m15,,35.55,17.93,35.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,780,11918099,,f,,,53.12,17.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,781,11923270,Kepler-676,a,m15,,36.62,36.03,37.05,38.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
